tmp[0], DC4; 0x014,
tmp[1], DLE; 0x010,
tmp[2], \n; 0x0a,
tmp[3], US; 0x01f,
tmp[4], ACK; 0x06,
tmp[5], '8'; 0x38,
tmp[6], SOH; 0x01,
tmp[7], NUL; 0x00,
tmp[8], NUL; 0x00,
tmp[9], '?'; 0x099,
tmp[10], NUL; 0x00,
tmp[11], NUL; 0x00,
tmp[12], NUL; 0x00,
tmp[13], '?'; 0x099,
tmp[14], NUL; 0x00,
tmp[15], NUL; 0x00,
tmp[16], NUL; 0x00,
tmp[17], '?'; 0x099,
tmp[18], NUL; 0x00,
tmp[19], NUL; 0x00,
tmp[20], NUL; 0x00,
tmp[21], '?'; 0x099,
tmp[22], NUL; 0x00,
tmp[23], NUL; 0x00,
tmp[24], NUL; 0x00,
tmp[25], '?'; 0x099,
tmp[26], NUL; 0x00,
tmp[27], '>'; 0x3e,
tmp[28], '?'; 0xcc,
tmp[29], '?'; 0xcc,
tmp[30], '?'; 0xcd,
tmp[31], NUL; 0x00,
tmp[32], NUL; 0x00,
tmp[33], NUL; 0x00,
tmp[34], NUL; 0x00,
tmp[35], '?'; 0x3f,
tmp[36], EM; 0x019,
tmp[37], '?'; 0x099,
tmp[38], '?'; 0x09a,
tmp[39], NUL; 0x00,
tmp[40], STX; 0x02,
