tmp[0], DC4; 0x014,
tmp[1], DLE; 0x010,
tmp[2], \n; 0x0a,
tmp[3], US; 0x01f,
tmp[4], ACK; 0x06,
tmp[5], '7'; 0x37,
tmp[6], US; 0x01f,
tmp[7], NUL; 0x00,
tmp[8], NUL; 0x00,
tmp[9], '?'; 0xcc,
tmp[10], NUL; 0x00,
tmp[11], NUL; 0x00,
tmp[12], NUL; 0x00,
tmp[13], '?'; 0xcc,
tmp[14], NUL; 0x00,
tmp[15], NUL; 0x00,
tmp[16], NUL; 0x00,
tmp[17], '?'; 0xcc,
tmp[18], NUL; 0x00,
tmp[19], NUL; 0x00,
tmp[20], NUL; 0x00,
tmp[21], '?'; 0xcc,
tmp[22], NUL; 0x00,
tmp[23], NUL; 0x00,
tmp[24], NUL; 0x00,
tmp[25], '?'; 0xcc,
tmp[26], NUL; 0x00,
tmp[27], \n; 0x0a,
tmp[28], 'им'; 0xec,
tmp[29], \n; 0x0a,
tmp[30], 'им'; 0xec,
tmp[31], NUL; 0x00,
tmp[32], NUL; 0x00,
tmp[33], NUL; 0x00,
tmp[34], NUL; 0x00,
tmp[35], '>'; 0x3e,
tmp[36], '?'; 0xcc,
tmp[37], '?'; 0xcc,
tmp[38], '?'; 0xcd,
tmp[39], NUL; 0x00,
tmp[40], STX; 0x02,
